question,pmid,adaptation,sent_id,source,target,operation
1,30237473,adaptation2,4,These disorders differ in manifestations and severity but can affect all age groups and lead to substantial disability and impaired quality of life.,"Dystonia varies in how it appears, but it can affect all age groups, and can significantly impact daily life.",Generalization
1,30237473,adaptation2,5,The discovery of genes underlying the mendelian forms of isolated or combined dystonia has led to a better understanding of its pathophysiology.,We understand more about different types of dystonia since discovering the genes causing it.,Generalization
1,30237473,adaptation2,6,"In some of the most common genetic dystonias, such as those caused by TOR1A, THAP1, GCH1 and KMT2B mutations, and idiopathic dystonia, these mechanisms include abnormalities in transcriptional regulation, striatal dopaminergic signalling and synaptic plasticity and a loss of inhibition at neuronal circuits.","Some of the most common forms of hereditary dystonia are caused by mutations in genes called TOR1A, THAP1, GCH1 and KMT2B. These mutations may cause: problems with genes turning on or off; problems with sending or receiving dopamine (a neurotransmitter involved in motivation); problems adjusting the connections of brain cells; or problems suppressing unwanted brain activity.",Explanation
1,30237473,adaptation2,7,"The diagnosis of dystonia is largely based on clinical signs, and the diagnosis and aetiological definition of this disorder remain a challenge.",Dystonia is mainly diagnosed by signs a doctor can recognize. It is still difficult to diagnose and explain dystonia.,Substitution
1,30237473,adaptation2,8,"Effective symptomatic treatments with pharmacological therapy (anticholinergics), intramuscular botulinum toxin injection and deep brain stimulation are available; however, future research will hopefully lead to reliable biomarkers, better treatments and cure of this disorder.","Dystonia can be treated with: drugs (specifically anticholinergics, which block a neurotransmitter); injections of botulinum toxin (such as Botox); and insertion of electrodes into the brain. However, we hope that more research will produce better diagnostics, treatments, and maybe cures.",Explanation
1,31696455,adaptation2,1,Muscle cramp is a temporary but intense and painful involuntary contraction of skeletal muscle that can occur in many different situations.,"Muscle cramp is a temporary but intense, painful, uncontrollable muscle contraction that can occur for different reasons.",Generalization
1,31696455,adaptation2,2,"The causes of, and cures for, the cramps that occur during or soon after exercise remain uncertain, although there is evidence that some cases may be associated with disturbances of water and salt balance, while others appear to involve sustained abnormal spinal reflex activity secondary to fatigue of the affected muscles.","The causes of and cures for exercise-related cramps remain unknown. However, some cases may be linked with disturbances of water and salt balance, while others may be from constant abnormal spinal reflex activity linked to fatigue of the affected muscles.",Generalization
1,31696455,adaptation2,3,"Evidence in favour of a role for dyshydration comes largely from medical records obtained in large industrial settings, although it is supported by one large-scale intervention trial and by field trials involving small numbers of athletes.","Evidence of lack of water comes largely from medical records from large industrial settings. However, it is also supported by one large treatment trial and trials with small groups of athletes.",Substitution
1,31696455,adaptation2,4,"Cramp is notoriously unpredictable, making laboratory studies difficult, but experimental models involving electrical stimulation or intense voluntary contractions of small muscles held in a shortened position can induce cramp in many, although not all, individuals.","Cramp is very unpredictable, making lab studies difficult, but experiments with electrical stimulation or intense voluntary contractions of small muscles held in a shortened position can cause cramp in many, but not all, individuals.",Substitution
1,31696455,adaptation2,5,"These studies show that dehydration has no effect on the stimulation frequency required to initiate cramping and confirm a role for spinal pathways, but their relevance to the spontaneous cramps that occur during exercise is questionable.","These studies show that dehydration does no affect the stimulation amount needed to start cramping and confirm a role for spinal pathways, but their link to the spontaneous exercise-related cramps that occur is questionable.",Substitution
1,31696455,adaptation2,6,"There is a long history of folk remedies for treatment or prevention of cramps; some may reduce the likelihood of some forms of cramping and reduce its intensity and duration, but none are consistently effective.","There is a long history of home remedies for treatment or prevention of cramps. Some may reduce the chance of some forms of cramping and reduce its intensity and length, but none are consistently effective.",Substitution
1,31696455,adaptation2,7,"It seems likely that there are different types of cramp that are initiated by different mechanisms; if this is the case, the search for a single strategy for prevention or treatment is unlikely to succeed.","There may be different types of cramp caused by different mechanisms; if so, finding a single strategy for prevention or treatment is unlikely to work.",Generalization
1,32956536,adaptation2,1,"Background: Skeletal muscle cramps are common and often occur in association with pregnancy, advanced age, exercise or motor neuron disorders (such as amyotrophic lateral sclerosis).","Skeletal muscle cramps are common and occur with pregnancy, old age, exercise or nerve-related, movement disorders (like amyotrophic lateral sclerosis which weakens muscles).",Substitution
1,32956536,adaptation2,2,"Typically, such cramps have no obvious underlying pathology, and so are termed idiopathic.","Usually, muscle cramps have no obvious cause.",Generalization
1,32956536,adaptation2,3,Magnesium supplements are marketed for the prophylaxis of cramps but the efficacy of magnesium for this purpose remains unclear.,"Magnesium supplements are used for preventing cramps, but their effectiveness is unclear.",Generalization
1,33722257,adaptation2,1,"Background: Muscle cramp is a painful, involuntary muscle contraction, and that occurs during or following exercise is referred to as exercise-associated muscle cramp (EAMC).","Muscle cramps are unconscious contractions of muscles that are painful. When they happen during or after excercise, they are called Exercise-Associated Muscle Cramps (EAMC).",Substitution
1,33722257,adaptation2,2,"The causes of EAMC are likely to be multifactorial, but dehydration and electrolytes deficits are considered to be factors.","There are probably many causes of EAMC, but dehydration and lack of electrolytes (mineral salts dissolved in the blood) are thought to play roles.",Explanation
1,33722257,adaptation2,3,"This study tested the hypothesis that post-exercise muscle cramp susceptibility would be increased with spring water ingestion, but reduced with oral rehydration solution (ORS) ingestion during exercise.",This study tested whether drinking a special drink called Oral Rehydration Solution (ORS) while exercising made Exercise-Associated Muscle Cramps less likely than drinking spring water.,Substitution
1,33722257,adaptation2,4,Methods: Ten men performed downhill running (DHR) in the heat (35-36 °C) for 40-60 min to reduce 1.5-2% of their body mass in two conditions (spring water vs ORS) in a cross-over design.,"Ten men ran downhill in hot conditions for 40-60 minutes, drinking either spring water or ORS.",Generalization
1,33722257,adaptation2,5,"The body mass was measured at 20 min and every 10 min thereafter during DHR, and 30 min post-DHR.","Their weights were measured 20 minutes into the exercise, then every 10 minutes, and then 30 minutes after the exercise was completed.",Explanation
1,33722257,adaptation2,6,The participants ingested either spring water or ORS for the body mass loss in each period.,"After each measurement, the men drank enough of either the spring water or ORS to make up for the weight they lost.",Explanation
1,33722257,adaptation2,7,The two conditions were counter-balanced among the participants and separated by a week.,"We did the experiment twice, a week apart, so that each person tried both drinks. We balanced which order they tried the drinks in.",Explanation
1,33722257,adaptation2,12,"TF decreased 3.8 ± 2.7 to 4.5 ± 1.7 Hz from the baseline value immediately to 65 min post-DHR for the spring water condition, but increased 6.5 ± 4.9 to 13.6 ± 6.0 Hz in the same time period for the ORS condition (P < 0.05).",Muscle cramps were easier to induce in participants who had drunk spring water than in participants who had drunk ORS.,Generalization
1,33722257,adaptation2,14,Serum sodium and chloride concentrations decreased (< 2%) at immediately post-DHR for the spring water condition only (P < 0.05).,Some electrolytes in the blood decreased for participants who were drinking only spring water.,Generalization
1,33722257,adaptation2,16,It was concluded that ingesting ORS appeared to be effective for preventing EAMC.,The study showed that the drinking ORS (Oral Rehydration Solution) during exercise made muscle cramps less likely.,Explanation
1,34346706,adaptation2,1,Dystonia is a complex neurological movement disorder characterized by involuntary muscle contractions.,Dystonia is a complicated brain-related movement disorder with uncontrollable muscle contractions.,Substitution
1,34346706,adaptation2,2,"Increasing studies implicate the microbiome as a possible key susceptibility factor for neurological disorders, but the relationship between the gut microbiota and dystonia remains poorly explored.","Many studies imply microorganisms inside us as a possible factor for brain-related disorders, but the link between the gut microorganisms (microbiota) and dystonia remains poorly explored.",Substitution
1,34346706,adaptation2,3,"Here, the gut microbiota of 57 patients with isolated dystonia and 27 age- and environment-matched healthy controls was analyzed by 16S rRNA gene amplicon sequencing.","Here, the gut microbiota of 57 patients with dystonia and 27 age- and environment-matched healthy patients was analyzed by 16S DNA sequencing.",Substitution
1,34346706,adaptation2,4,"Further, integrative analysis of the gut microbiome and serum metabolome measured by high-performance liquid chromatography-mass spectrometry was performed.","Further, we analyzed the gut microbiome and molecules in the blood.",Generalization
1,34346706,adaptation2,5,"No difference in α-diversity was found, while β-diversity was significantly different, with a more heterogeneous community structure among dystonia patients than among controls.","No change in some gut-diversity was found, while other gut-diversity was very different, with a more diverse community among dystonia patients than among healthy patients (controls).",Substitution
1,34346706,adaptation2,6,"The most significant changes in dystonia highlighted an increase in Clostridiales, including Blautia obeum, Dorea longicatena, and Eubacterium hallii, and a reduction in Bacteroides vulgatus and Bacteroides plebeius.","The most different change in dystonia showed an increase in certain types of microorganisms labeled Clostridiales, including Blautia obeum, Dorea longicatena, and Eubacterium hallii, and a reduction in other microorganisms labeled Bacteroides vulgatus and Bacteroides plebeius.",Explanation
1,34346706,adaptation2,7,"The functional analysis revealed that genes related to tryptophan and purine biosynthesis were more abundant in gut microbiota from patients with dystonia, while genes linked to citrate cycle, vitamin B6, and glycan metabolism were less abundant.","The analysis showed that genes related to the molecules tryptophan and purine creation were more abundant in gut microbiota from patients with dystonia, while genes linked to energy cycles, vitamin B6, and glycan (a specific sugar) breakdown were less abundant.",Substitution
1,34346706,adaptation2,8,"The evaluation of serum metabolites revealed altered levels of l-glutamic acid, taurine, and d-tyrosine, suggesting changes in neurotransmitter metabolism.","Analyzing blood molecules revealed changed levels of molecules called l-glutamic acid, taurine, and d-tyrosine, suggesting changes in brain signaling molecule metabolism.",Substitution
1,34346706,adaptation2,9,"The most modified metabolites strongly inversely correlated with the abundance of members belonging to the Clostridiales, revealing the effect of the gut microbiota on neurometabolic activity.","The most modified molecules decreased with the abundance of microorganism members belonging to the Clostridiales, revealing the effect of the gut microbiota on brain molecule activity.",Substitution
1,34346706,adaptation2,10,"This study is the first to reveal gut microbial dysbiosis in patients with isolated dystonia and identified potential links between gut microbiota and serum neurotransmitters, providing new insight into the pathogenesis of isolated dystonia.","This study is the first to show gut microbial differences in patients with dystonia and found possible links between gut microbiota and blood brain signaling molecules, providing new insight into the causes of dystonia.",Substitution
1,34346706,adaptation2,11,IMPORTANCE Dystonia is the third most common movement disorder after essential tremor and Parkinson's disease.,IMPORTANCE Dystonia is the third most common movement disorder after tremors and Parkinson's disease (a brain disorder affecting movement).,Explanation
1,34346706,adaptation2,12,"However, the cause for the majority of cases is not known.","However, the cause for many cases is not known.",Generalization
1,34346706,adaptation2,13,This is the first study so far that reveals significant alterations of gut microbiome and correlates the alteration of serum metabolites with gut dysbiosis in patients with isolated dystonia.,This is the first study so far that reveals significant changes of gut microbiome and links the change of blood molecules with gut changes in patients with dystonia.,Substitution
1,34346706,adaptation2,14,We demonstrated a general overrepresentation of Clostridiales and underrepresentation of Bacteroidetes in patients with dystonia in comparison with healthy controls.,We show a general overrepresentation of Clostridiales and underrepresentation of Bacteroidetes in patients with dystonia compared to healthy controls.,Substitution
1,34346706,adaptation2,15,"The functional analysis found that genes related to the biosynthesis of tryptophan, which is the precursor of the neurotransmitter serotonin, were more active in isolated dystonia patients.","The analysis found that genes related to the creation tryptophan, which makes the brain signaling molecule serotonin, were more active in dystonia patients.",Substitution
1,34346706,adaptation2,16,"Altered levels of several serum metabolites were found to be associated with microbial changes, such as d-tyrosine, taurine, and glutamate, indicating differences in neurotransmitter metabolism in isolated dystonia.","Changed levels of several blood molecules were found to be linked with microbial changes, such as d-tyrosine, taurine, and glutamate, indicating differences in brain signaling molecule metabolism in dystonia.",Substitution
1,34346706,adaptation2,17,Integrative analysis suggests that neurotransmitter system dysfunction may be a possible pathway by which the gut microbiome participates in the development of dystonia.,Analysis suggests that brain signaling molecule system dysfunction may be a possible pathway by which the gut microbiome participates in the development of dystonia.,Substitution
1,34346706,adaptation2,18,"The gut microbiome changes provide new insight into the pathogenesis of dystonia, suggesting new potential therapeutic directions.","The gut microbiome changes provide new insight into the cause of dystonia, suggesting new potential treatment directions.",Substitution
3,16445274,adaptation3,1,"Hyperkalemia is a potentially life-threatening metabolic problem caused by inability of the kidneys to excrete potassium, impairment of the mechanisms that move potassium from the circulation into the cells, or a combination of these factors.",Hyperkalemia is a condition where the potassium level in the blood is higher than normal. Potassium is an important mineral in the body. Hyperkalemia is caused by problems with potasium metabolism and it can be life-threatening. It can be caused by a problem with the kidneys getting rid of the potassium through the urine. It can also be caused by a problem moving potassium into the cells from the bloodstream or both.,Explanation
3,16445274,adaptation3,2,Acute episodes of hyperkalemia commonly are triggered by the introduction of a medication affecting potassium homeostasis; illness or dehydration also can be triggers.,"Hyperkalemia that comes on rapidly is usually caused by an illness, dehydration, or by starting medicines that affect normal potassium balance in the body.",Substitution
3,16445274,adaptation3,3,"In patients with diabetic nephropathy, hyperkalemia may be caused by the syndrome of hyporeninemic hypoaldosteronism.",Hyperkalemia can also be caused by other syndromes or conditions in patients with kidney diseases that are caused by diabetes.,Explanation
3,16445274,adaptation3,4,The presence of typical electrocardiographic changes or a rapid rise in serum potassium indicates that hyperkalemia is potentially life threatening.,Signs that hyperkalemia may be life-threatening include EKG changes that are typically seen with high potassium levels or by a rapid rise in potassium levels on a blood test.,Explanation
3,16445274,adaptation3,5,"Urine potassium, creatinine, and osmolarity should be obtained as a first step in determining the cause of hyperkalemia, which directs long-term treatment.","Urine tests for potassium, creatinine (a waste product from muscles), and osmolality (the kidney's ability to balance water in urine) should be done as a first step in finding the cause for the hyperkalemia. Finding the cause for the hyperkalemia will have an effect on the ongoing treatment.",Explanation
3,16445274,adaptation3,6,Intravenous calcium is effective in reversing electrocardiographic changes and reducing the risk of arrhythmias but does not lower serum potassium.,"Giving calcium through an IV can improve the abnormal EKG changes and reduce the risk of abnormal heartbeats, but this treatment does not lower the blood potassium level.",Explanation
3,16445274,adaptation3,7,"Serum potassium levels can be lowered acutely by using intravenous insulin and glucose, nebulized beta2 agonists, or both.","Blood potassium levels can be lowered quickly by giving IV insulin and glucose, and by giving medicines called beta2 agonists through an inhaler or both.",Explanation
3,16445274,adaptation3,8,"Sodium polystyrene therapy, sometimes with intravenous furosemide and saline, is then initiated to lower total body potassium levels.","To then lower total body potassium levels, sodium polystyrene (a potassium-binding medicine) is started, sometimes with IV Lasix and saline.",Substitution
3,26093176,adaptation3,1,Hyperkalemia is a clinically important electrolyte abnormality that occurs most commonly in patients with chronic kidney disease.,Hyperkalemia is a condition where the potassium level in the blood is higher than normal. Potassium is a very important mineral in the body. Hyperkalemia is a important problem that happens mostly in people with long-lasting kidney disease.,Explanation
3,26093176,adaptation3,2,"Due to its propensity to induce electrophysiological disturbances, severe hyperkalemia is considered a medical emergency.",Severe hyperkalemia is a medical emergency because it can cause problems with the heart beat and the nerves.,Explanation
3,26093176,adaptation3,3,"The management of acute and chronic hyperkalemia can be achieved through the implementation of various interventions, one of which is the elimination of medications that can raise serum potassium levels.",Doctors will stop the medicines that can cause increases in potassium blood levels as one of many ways to treat hyperkalemia.,Generalization
3,26093176,adaptation3,4,"Because many such medications (especially inhibitors of the renin-angiotensin aldosterone system) have shown beneficial effects in patients with cardiovascular and renal disease, their discontinuation for reasons of hyperkalemia represent an undesirable clinical compromise.","Many of these medicines that can cause hyperkalemia have also shown good effects on the heart, circulation, and kidneys. These medicines include a class of drugs that block the renin-angiotensin-aldosterone system (RAAS blockers). The RAAS is a hormone system that manages blood pressure and fluid balance in the body. Because these medicines also have good effects, stopping them may not be the best solution.",Explanation
3,26093176,adaptation3,5,The emergence of 2 new potassium-binding medications for acute and chronic therapy of hyperkalemia may soon allow the continued use of medications such as renin-angiotensin-aldosterone system inhibitors even in patients who are prone to hyperkalemia.,"Two newer medicines that bind to potassium are coming out to treat hyperkalemia. These potassium-binding medicines may soon allow doctors to continue to use the RAAS blockers that may increase the blood potassium levels, even in patients who may get hyperkalemia.",Explanation
3,26093176,adaptation3,6,"This review article provides an overview of the physiology and the pathophysiology of potassium metabolism and hyperkalemia, the epidemiology of hyperkalemia, and its acute and chronic management.",This research studies the way potassium is handled in the body under normal conditions and in hyperkalemia. it also studies hyperkalemia in the population and how doctors treat rapidly occurring and ongoing hyperkalemia.,Explanation
3,26093176,adaptation3,7,"We discuss in detail emerging data about new potassium-lowering therapies, and their potential future role in clinical practice.",We thoroughly discuss the information coming out about these new medicines that can lower potassium. We also discuss how doctors can use them in the future.,Explanation
3,26093176,adaptation2,1,Hyperkalemia is a clinically important electrolyte abnormality that occurs most commonly in patients with chronic kidney disease.,Hyperkalemia (high blood potassium) is a medical issue common in patients with long-lasting kidney disease.,Substitution
3,26093176,adaptation2,2,"Due to its propensity to induce electrophysiological disturbances, severe hyperkalemia is considered a medical emergency.","Since it may promote electrical and heart-related issues, severe high blood potassium is a medical emergency.",Substitution
3,26093176,adaptation2,3,"The management of acute and chronic hyperkalemia can be achieved through the implementation of various interventions, one of which is the elimination of medications that can raise serum potassium levels.","Certain treatments, like eliminating medications that raise blood potassium, can help manage high blood potassium.",Generalization
3,26093176,adaptation2,4,"Because many such medications (especially inhibitors of the renin-angiotensin aldosterone system) have shown beneficial effects in patients with cardiovascular and renal disease, their discontinuation for reasons of hyperkalemia represent an undesirable clinical compromise.","Since many kidney-affecting drugs (like blockers of kidney-related monitoring of blood pressure and electrolytes) help patients with heart- and kidney-related diseases, their removal is an issue.",Generalization
3,26093176,adaptation2,5,The emergence of 2 new potassium-binding medications for acute and chronic therapy of hyperkalemia may soon allow the continued use of medications such as renin-angiotensin-aldosterone system inhibitors even in patients who are prone to hyperkalemia.,The use of 2 new potassium-binding medications for treating high blood potassium may allow the continued use of kidney-affecing medications even in patients prone to high blood potassium.,Generalization
3,26093176,adaptation2,6,"This review article provides an overview of the physiology and the pathophysiology of potassium metabolism and hyperkalemia, the epidemiology of hyperkalemia, and its acute and chronic management.","This article reviews the biology, spread, and treatment of potassium metabolism and high blood potassium.",Generalization
3,26093176,adaptation2,7,"We discuss in detail emerging data about new potassium-lowering therapies, and their potential future role in clinical practice.",We discuss new potassium-lowering treatments.,Generalization
3,26721532,adaptation3,1,Purpose: Emerging treatment options for the management of chronic hyperkalemia in the outpatient setting are reviewed.,New treatments for long-lasting (chronic) hyperkalemia to take care of patients not in the hospital (outpatients) are being researched.,Explanation
3,26721532,adaptation3,2,Summary: Current treatment options for the management of hyperkalemia are limited and often accompanied by serious adverse effects.,Current treatments for hyperkalemia are few and often have serious side effects.,Generalization
3,26721532,adaptation3,3,Two investigational drugs for the treatment of hyperkalemia are being evaluated in Phase III trials: sodium zirconium cyclosilicate and patiromer.,Two new drugs are being researched for the treatment of hyperkalemia in new patient studies (clinical trials). Their names are sodium zirconium cyclosilicate and patiromer.,Explanation
3,26721532,adaptation3,4,"Both of these drugs are administered orally and act by enhancing potassium's removal, predominantly through the gastrointestinal tract.","Both of these drugs are given by mouth. They act by increasing the removal of potassium from the body, mostly through the gastrointestinal tract. The gastrointestinal tract includes the stomach and the bowels.",Explanation
3,26721532,adaptation3,5,The safety and efficacy of sodium zirconium cyclosilicate and patiromer were evaluated in Phase II and III trials.,These drugs have already been studied in people for their safety and effectiveness in past clinical trials.,Substitution
3,26721532,adaptation3,6,"Both agents were studied in patients with chronic mild-to-severe hyperkalemia, chronic kidney disease (CKD), or heart failure as well as those taking a renin-angiotensin system (RAS) inhibitor, an aldosterone antagonist, or both therapies.","These clinical trials included patients with chronic hyperkalemia (ranging from mild to severe), chronic kidney disease, or heart failure. These research trials also included patients taking other drugs at the same time. These other drugs included a class of drugs that block the renin-angiotensin-aldosterone system called RAAS blockers. The renin-angiotensin-aldosterone system is a hormone system that manages blood pressure and fluid balance in the body.",Explanation
3,26721532,adaptation3,7,These clinical trials found that sodium zirconium cyclosilicate and patiromer normalized serum potassium levels quickly and maintained normalized serum potassium levels over several weeks.,These clinical trials found that sodium zirconium cyclosilicate and patiromer brought the blood potassium levels down to normal quickly and kept the blood levels of potassium normal for several weeks.,Explanation
3,26721532,adaptation3,8,"Both medications caused a rapid decrease in serum potassium, with two studies examining efficacy endpoints for 12 weeks or longer.",Both drugs caused a fast decrease in blood potassium levels. Two of these patient trials studied the effectiveness for 12 weeks or longer.,Explanation
3,26721532,adaptation3,9,"The overall frequency of adverse effects in these clinical trials was low, with gastrointestinal adverse events being the most commonly observed.",The overall number of side effects in these patient studies was low. The most common side effects seen were related to the  gastrointestinal tract.,Substitution
3,26721532,adaptation3,10,"Conclusion: Options for the management of hyperkalemia, particularly chronic hyperkalemia in the outpatient setting, are limited.","Doctors don’t have a lot of ways to treat hyperkalemia, especially chronic hyperkalemia if the patient is not in the hospital.",Explanation
