text,has_numerical,has_warning,is_syntactically_complex,has_umls_jargon,complexity_score
"Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias.  Severe hyperkalemia is a medical emergency, which requires immediate therapies, followed by interventions aimed at preventing its recurrence.  Current treatment paradigms for chronic hyperkalemia management are focused on eliminating predisposing factors, such as high potassium intake in diets or supplements, and the use of medications known to raise potassium level.  Among the latter, inhibitors of the renin-angiotensin aldosterone system are some of the most commonly involved medications, and their discontinuation is often the first step taken by clinicians to prevent the recurrence of hyperkalemia.  While this strategy is usually successful, it also deprives patients of the recognized benefits of this class, such as their renoprotective effects.  The development of novel potassium binders has ushered in a new era of hyperkalemia management, with a focus on chronic therapy while magentomaintaining the use of beneficial, but hyperkalemia-inducing medications such as renin-angiotensin aldosterone system inhibitors.  This review article examines the incidence and clinical consequences of hyperkalemia, and its various treatment options, with special emphasis on novel therapeutic agents and the potential benefits of their application.",False,True,True,True,3
"Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias.  Severe hyperkalemia is a medical emergency, which requires immediate therapies, followed by interventions aimed at preventing its recurrence.  Current treatment paradigms for chronic hyperkalemia management are focused on eliminating predisposing factors, such as high potassium intake in diets or supplements, and the use of medications known to raise potassium level.  Among the latter, inhibitors of the renin-angiotensin aldosterone system are some of the most commonly involved medications, and their discontinuation is often the first step taken by clinicians to prevent the recurrence of hyperkalemia.  While this strategy is usually successful, it also deprives patients of the recognized benefits of this class, such as their renoprotective effects.  The development of novel potassium binders has ushered in a new era of hyperkalemia management, with a focus on chronic therapy while magentomaintaining the use of beneficial, but hyperkalemia-inducing medications such as renin-angiotensin aldosterone system inhibitors.  This review article examines the incidence and clinical consequences of hyperkalemia, and its various treatment options, with special emphasis on novel therapeutic agents and the potential benefits of their application.",False,True,True,True,3
"Hyperkalemia is a clinically important electrolyte abnormality that occurs most commonly in patients with chronic kidney disease.  Due to its propensity to induce electrophysiological disturbances, severe hyperkalemia is considered a medical emergency.  The management of acute and chronic hyperkalemia can be achieved through the implementation of various interventions, one of which is the elimination of medications that can raise serum potassium levels.  Because many such medications (especially inhibitors of the renin-angiotensin aldosterone system) have shown beneficial effects in patients with cardiovascular and renal disease, their discontinuation for reasons of hyperkalemia represent an undesirable clinical compromise.  The emergence of 2 new potassium-binding medications for acute and chronic therapy of hyperkalemia may soon allow the continued use of medications such as renin-angiotensin-aldosterone system inhibitors even in patients who are prone to hyperkalemia.  This review article provides an overview of the physiology and the pathophysiology of potassium metabolism and hyperkalemia, the epidemiology of hyperkalemia, and its acute and chronic management.  We discuss in detail emerging data about new potassium-lowering therapies, and their potential future role in clinical practice.",False,False,True,True,2
"Hyperkalemia is a clinically important electrolyte abnormality that occurs most commonly in patients with chronic kidney disease.  Due to its propensity to induce electrophysiological disturbances, severe hyperkalemia is considered a medical emergency.  The management of acute and chronic hyperkalemia can be achieved through the implementation of various interventions, one of which is the elimination of medications that can raise serum potassium levels.  Because many such medications (especially inhibitors of the renin-angiotensin aldosterone system) have shown beneficial effects in patients with cardiovascular and renal disease, their discontinuation for reasons of hyperkalemia represent an undesirable clinical compromise.  The emergence of 2 new potassium-binding medications for acute and chronic therapy of hyperkalemia may soon allow the continued use of medications such as renin-angiotensin-aldosterone system inhibitors even in patients who are prone to hyperkalemia.  This review article provides an overview of the physiology and the pathophysiology of potassium metabolism and hyperkalemia, the epidemiology of hyperkalemia, and its acute and chronic management.  We discuss in detail emerging data about new potassium-lowering therapies, and their potential future role in clinical practice.",False,False,True,True,2
"In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L).  Medications such as renin-angiotensin-aldosterone system inhibitors pose an additional hyperkalemia risk, especially in patients with CKD.  When hyperkalemia develops, clinicians often recommend a diet that is lower in potassium content.  This review discusses the barriers to adherence to a low-potassium diet and the impact of dietary restrictions on adverse clinical outcomes.  Accumulating evidence indicates that a diet that incorporates potassium-rich foods has multiple health benefits, which may also be attributable to the other vitamin, mineral, and fiber content of potassium-rich foods.  These benefits include blood pressure reductions and reduced risks for cardiovascular disease and stroke.  High-potassium foods may also prevent CKD progression and reduce mortality risk in patients with CKD.  Adjunctive treatment with the newer potassium-binding agents, patiromer and sodium zirconium cyclosilicate, may allow for optimal renin-angiotensin-aldosterone system inhibitor therapy in patients with CKD and hyperkalemia, potentially making it possible for patients with CKD and hyperkalemia to liberalize their diet.  This may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed.",False,True,True,True,3
"In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L).  Medications such as renin-angiotensin-aldosterone system inhibitors pose an additional hyperkalemia risk, especially in patients with CKD.  When hyperkalemia develops, clinicians often recommend a diet that is lower in potassium content.  This review discusses the barriers to adherence to a low-potassium diet and the impact of dietary restrictions on adverse clinical outcomes.  Accumulating evidence indicates that a diet that incorporates potassium-rich foods has multiple health benefits, which may also be attributable to the other vitamin, mineral, and fiber content of potassium-rich foods.  These benefits include blood pressure reductions and reduced risks for cardiovascular disease and stroke.  High-potassium foods may also prevent CKD progression and reduce mortality risk in patients with CKD.  Adjunctive treatment with the newer potassium-binding agents, patiromer and sodium zirconium cyclosilicate, may allow for optimal renin-angiotensin-aldosterone system inhibitor therapy in patients with CKD and hyperkalemia, potentially making it possible for patients with CKD and hyperkalemia to liberalize their diet.  This may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed.",False,True,True,True,3
"Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.  Despite various guidelines, no universally accepted consensus exists on best practices for hyperkalemia monitoring, with variations in precise potassium (K+) concentration thresholds or for the management of acute or chronic hyperkalemia.  Based on the available evidence, this review identifies several critical issues and unmet needs with regard to the management of hyperkalemia.  Real-world studies are needed for a better understanding of the prevalence of hyperkalemia outside the clinical trial setting.  There is a need to improve effective management of hyperkalemia, including classification and K+ monitoring, when to reinitiate previously discontinued renin-angiotensin-aldosterone system inhibitor (RAASi) therapy, and when to use oral K+-binding agents.  Monitoring serum K+ should be individualized; however, increased frequency of monitoring should be considered for patients with chronic kidney disease, diabetes, heart failure, or a history of hyperkalemia and for those receiving RAASi therapy.  Recent clinical studies suggest that the newer K+ binders (patiromer sorbitex calcium and sodium zirconium cyclosilicate) may facilitate optimization of RAASi therapy.  Enhancing the knowledge of primary care physicians and internists with respect to the safety profiles of these newer K+ binders may increase confidence in managing patients with hyperkalemia.  Lastly, the availability of newer K+-binding agents requires further study to establish whether stringent dietary K+ restrictions are needed in patients receiving K+-binder therapy.  Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.",False,True,True,True,3
"Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.  Despite various guidelines, no universally accepted consensus exists on best practices for hyperkalemia monitoring, with variations in precise potassium (K+) concentration thresholds or for the management of acute or chronic hyperkalemia.  Based on the available evidence, this review identifies several critical issues and unmet needs with regard to the management of hyperkalemia.  Real-world studies are needed for a better understanding of the prevalence of hyperkalemia outside the clinical trial setting.  There is a need to improve effective management of hyperkalemia, including classification and K+ monitoring, when to reinitiate previously discontinued renin-angiotensin-aldosterone system inhibitor (RAASi) therapy, and when to use oral K+-binding agents.  Monitoring serum K+ should be individualized; however, increased frequency of monitoring should be considered for patients with chronic kidney disease, diabetes, heart failure, or a history of hyperkalemia and for those receiving RAASi therapy.  Recent clinical studies suggest that the newer K+ binders (patiromer sorbitex calcium and sodium zirconium cyclosilicate) may facilitate optimization of RAASi therapy.  Enhancing the knowledge of primary care physicians and internists with respect to the safety profiles of these newer K+ binders may increase confidence in managing patients with hyperkalemia.  Lastly, the availability of newer K+-binding agents requires further study to establish whether stringent dietary K+ restrictions are needed in patients receiving K+-binder therapy.  Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.",False,True,True,True,3
"Hyperkalemia is a potentially life-threatening metabolic problem caused by inability of the kidneys to excrete potassium, impairment of the mechanisms that move potassium from the circulation into the cells, or a combination of these factors. Acute episodes of hyperkalemia commonly are triggered by the introduction of a medication affecting potassium homeostasis; illness or dehydration also can be triggers. In patients with diabetic nephropathy, hyperkalemia may be caused by the syndrome of hyporeninemic hypoaldosteronism. The presence of typical electrocardiographic changes or a rapid rise in serum potassium indicates that hyperkalemia is potentially life threatening. Urine potassium, creatinine, and osmolarity should be obtained as a first step in determining the cause of hyperkalemia, which directs long-term treatment. Intravenous calcium is effective in reversing electrocardiographic changes and reducing the risk of arrhythmias but does not lower serum potassium. Serum potassium levels can be lowered acutely by using intravenous insulin and glucose, nebulized beta2 agonists, or both. Sodium polystyrene therapy, sometimes with intravenous furosemide and saline, is then initiated to lower total body potassium levels.",False,True,True,True,3
"Hyperkalemia results either from the shift of potassium out of cells or from abnormal renal potassium excretion. Cell shift leads to transient increases in the plasma potassium concentration, whereas decreased renal excretion of potassium leads to sustained hyperkalemia. Impairments in renal potassium excretion can be the result of reduced sodium delivery to the distal nephron, decreased mineralocorticoid level or activity, or abnormalities in the cortical collecting duct. In some instances, all 3 of these perturbations are present. Excessive intake of potassium can cause hyperkalemia but usually in the setting of impaired renal function. We discuss the clinical manifestations of hyperkalemia and outline an approach to its diagnosis and treatment.",False,False,False,True,1
"Hypokalemia (ie, potassium levels less than 3.5 mEq/L) occurs in fewer than 1% of healthy individuals, but is present in up to 20% of hospitalized patients, 40% of patients taking diuretics, and 17% of patients with cardiovascular conditions. Hypokalemia often is asymptomatic; symptoms are more common in older adults. Common symptoms are cardiac arrhythmias and muscle weakness or pain. Management consists of intravenous potassium replacement during cardiac monitoring for patients with marked symptoms, echocardiogram (ECG) abnormalities, or severe hypokalemia (ie, level less than 3.0 mEq/L). Oral replacement is appropriate for asymptomatic patients with less severe hypokalemia. Hyperkalemia (ie, level greater than 5.5 mEq/L) also can cause cardiac arrhythmias and muscle symptoms. Urgent management is warranted for patients with potassium levels of 6.5 mEq/L or greater, if ECG manifestations of hyperkalemia are present regardless of potassium levels, or if severe muscle symptoms occur. Urgent management includes intravenous calcium, intravenous insulin, and inhaled beta agonists. Hemodialysis can be used in urgent situations. For patients with less severe hyperkalemia, renal elimination drugs sometimes are used, as are gastrointestinal elimination drugs. For all patients with hypokalemia or hyperkalemia, drug regimens should be reevaluated and, when possible, hypokalemia- or hyperkalemia-causing drugs should be discontinued.",True,False,True,True,3
"Purpose: Emerging treatment options for the management of chronic hyperkalemia in the outpatient setting are reviewed. Summary: Current treatment options for the management of hyperkalemia are limited and often accompanied by serious adverse effects. Two investigational drugs for the treatment of hyperkalemia are being evaluated in Phase III trials: sodium zirconium cyclosilicate and patiromer. Both of these drugs are administered orally and act by enhancing potassium's removal, predominantly through the gastrointestinal tract. The safety and efficacy of sodium zirconium cyclosilicate and patiromer were evaluated in Phase II and III trials. Both agents were studied in patients with chronic mild-to-severe hyperkalemia, chronic kidney disease (CKD), or heart failure as well as those taking a renin-angiotensin system (RAS) inhibitor, an aldosterone antagonist, or both therapies. These clinical trials found that sodium zirconium cyclosilicate and patiromer normalized serum potassium levels quickly and maintained normalized serum potassium levels over several weeks. Both medications caused a rapid decrease in serum potassium, with two studies examining efficacy endpoints for 12 weeks or longer. The overall frequency of adverse effects in these clinical trials was low, with gastrointestinal adverse events being the most commonly observed. Conclusion: Options for the management of hyperkalemia, particularly chronic hyperkalemia in the outpatient setting, are limited. Both sodium zirconium cyclosilicate and patiromer are emerging therapies that may provide long-term management of hyperkalemia, particularly in patients with underlying heart failure or CKD as well as those taking an RAS inhibitor, an aldosterone antagonist, or both.",True,True,True,True,4
"Patients with end-stage renal disease (ESRD) on maintenance dialysis have a high risk of developing hyperkalemia, generally defined as serum potassium (K+) concentrations of >5.0 mmol/l, particularly those undergoing maintenance hemodialysis. Currently, the key approaches to the management of hyperkalemia in patients with ESRD are dialysis, dietary K+ restriction, and avoidance of medications that increase hyperkalemia risk. In this review, we highlight the issues and challenges associated with effective management of hyperkalemia in patients undergoing maintenance dialysis using an illustrative case presentation. In addition, we examine the potential nondialysis options for the management of these patients, including use of the newer K+ binder agents patiromer and sodium zirconium cyclosilicate, which may reduce the need for the highly restrictive dialysis diet, with its own implication on nutritional status in patients with ESRD, as well as reducing the risk of potentially life-threatening hyperkalemia.",True,True,True,True,4
"Purpose of review: Hyperkalemia is a potentially fatal electrolyte disorder, more commonly present when the potassium excretion capacity is imparied. Hyperkalemia can lead to adverse outcomes, especially due to severe cardiac arrhythmias. It can also impair the cardiovascular effects of renin-angiotensin-aldosterone system inhibitors (RAASis) and potassium rich diets, as hyperkalemia frequently leads to their discontinuation. Recent findings: Potassium is a predictor of mortality and should be monitored closely for patients who are at risk for hyperkalemia. Acute hyperkalemia protocols have been revised and updated. Randomized trials have shown that the new anti-hyperkalemic agents (patiromer and zirconium cyclosilicate) are effective hyperkalemia treatment options. The use of anti-hyperkalemic agents may allow for a less restrictive potassium diet and lower RAASi discontinuation rates. Summary: Hyperkalemia should be monitored closely for high-risk patients, as it is associated with adverse outcomes. New therapies have demonstrated effective control, offering hope for potential use in patients that would benefit from diet or medications associated with an increase in serum potassium, indicating that the use of hyperkalemic agents can be associated with better outcomes.",False,True,True,True,3
"New recommendations for the classification and diagnosis of diabetes mellitus include the preferred use of the terms ""type 1"" and ""type 2"" instead of ""IDDM"" and ""NIDDM"" to designate the two major types of diabetes mellitus; simplification of the diagnostic criteria for diabetes mellitus to two abnormal fasting plasma determinations; and a lower cutoff for fasting plasma glucose (126 mg per dL [7 mmol per L] or higher) to confirm the diagnosis of diabetes mellitus. These changes provide an easier and more reliable means of diagnosing persons at risk of complications from hyperglycemia. Currently, only one half of the people who have diabetes mellitus have been diagnosed. Screening for diabetes mellitus should begin at 45 years of age and should be repeated every three years in persons without risk factors, and should begin earlier and be repeated more often in those with risk factors. Risk factors include obesity, first-degree relatives with diabetes mellitus, hypertension, hypertriglyceridemia or previous evidence of impaired glucose homeostasis. Earlier detection of diabetes mellitus may lead to tighter control of blood glucose levels and a reduction in the severity of complications associated with this disease.",True,True,False,True,3
"Diagnostic criteria for diabetes in children have not been established with nearly the rigor as that employed in adults. Recently revised American Diabetes Association (ADA) criteria allowed utilization of hemoglobin A(1c) (HbA1c) ≥ 6.5 % for diagnosis of diabetes. A recent series of pediatric studies appear to show that HbA1c has lower sensitivity than Fasting plasma glucose (FPG) or oral glucose tolerance test (OGTT). However, FPG and OGTT have themselves never been validated in children. Studies to validate diagnostic thresholds in children appear unlikely to take place. Thus, accepting the major ADA diagnostic criteria appears to be the best course of action for the pediatric community. One area in which correlation studies between HbA1c and FPG or OGTT might shed light is in the definition of criteria for intervention in 'pre-diabetes,' as the Diabetes Prevention Program Trial did not use HbA1c. However, such treatment, and the exact diagnostic thresholds at which it should be initiated in children, remains unproven.",True,False,True,False,2
In 1997 the American Diabetes Association lowered the threshold for diagnosis of diabetes from a fasting plasma glucose concentration of 7.8 mmol/l to 7.0 mmol/l and advised that the oral glucose tolerance test no longer be used in routine clinical practice. In 1999 the World Health Organization endorsed the reduction in fasting plasma glucose threshold but recommended retaining the oral glucose tolerance test for anyone with impaired fasting glucose (6.1 mmol/l-6.9 mmol/l). This Review discusses the impact of these changes on the prevalence of diabetes and examines the implications for individuals and specific high-risk groups. The phenotype of those diagnosed with diabetes and the predictive value for the development of complications according to the different criteria are compared. It is clear that these changes in diagnostic criteria have major importance both for individuals and for resource planning at a national level.,True,True,False,True,3
"The classification of diabetes was originally limited to only two categories called juvenile-onset diabetes mellitus, now known as type 1 diabetes mellitus, and adult-onset diabetes mellitus, now known as type 2 diabetes mellitus. This has grown to a recognition of more than 50 subcategories caused by various pathogenic mechanisms or accompanying other diseases and syndromes. The diagnosis of diabetes has evolved from physician recognition of typical symptoms to detection of ambient hyperglycemia and, thence, to the definition of excessive plasma glucose levels after an overnight fast and/or following challenge with a glucose load (oral glucose tolerance test or OGTT), and more recently, by measurement of glycated hemoglobin (A1c). Screening has uncovered a much higher prevalence of diabetes in the United States and elsewhere, as well as its enormous public health impact. Modern testing has defined individuals at high risk for the development of diabetes and pregnant women whose fetuses are at increased risk for mortality and morbidity. Diagnostic glycemic criteria for presymptomatic diabetes have been set using diabetic retinopathy as a specific complication of the disease: A1c ≥6.5%; fasting plasma glucose (FPG) ≥126 mg/dL; or plasma glucose measured 2 hours after an OGTT (2-hour PG) ≥200 mg/dL. For patients with typical symptoms, a random plasma glucose ≥200 mg/dL is diagnostic. The 2-hour PG yields the highest prevalence and A1c the lowest. A1c is the most convenient and practical test, requiring no preparation, is analytically superior, and has the lowest intraindividual variation. It is more expensive than the FPG, but the same or less than the OGTT. The 2-hour PG is the most burdensome to the patient and has the highest intraindividual variation. Standardized measurement of A1c is not available everywhere. Confirmation of an abnormal test with the same test is recommended. Studies in various populations show inconsistency among the glycemic tests. Of people meeting the A1c criterion, 27%–98% meet plasma glucose criteria. Of people meeting plasma glucose criteria, 17%–78% meet the A1c criterion. These discrepancies occur because each test measures different aspects of hyperglycemia that may vary among patients. While the risk of future diabetes is continuously associated with plasma glucose and A1c, the areas between the upper limits of normal and the diabetes cutpoints have been called “prediabetes” or “high risk for diabetes.” These have been defined categorically as A1c 6.0%–6.4% or 5.7%–6.4%; impaired fasting glucose (IFG), FPG 100–125 mg/dL; and impaired glucose tolerance (IGT), 2-hour PG 140–199 mg/dL. A1c 6.0%–6.4% increases the odds ratio (OR) for progression to diabetes (OR 12.5–16) more than the range of 5.7%–6.4% (OR 9.2). In U.S. studies, the incidence of type 2 diabetes averages approximately 6% per year in people with IGT and can reverse spontaneously. IFG is more prevalent than IGT in the United States, though IGT rises more sharply with age. IFG increases the risk of future diabetes to various degrees in different countries, with odds ratios ranging from 2.9 to 18.5.",True,True,True,True,4
