source,simplified
Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.,Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.
Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.,Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.
Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.,Individualized monitoring of serum K+ among patients with an increased risk of hyperkalemia and the use of newer K+-binding agents may allow for optimization of RAASi therapy and more effective management of hyperkalemia.
These changes provide an easier and more reliable means of diagnosing persons at risk of complications from hyperglycemia.,These changes provide an easier and more reliable means of diagnosing persons at risk of complications from hyperglycemia.
Earlier detection of diabetes mellitus may lead to tighter control of blood glucose levels and a reduction in the severity of complications associated with this disease.,Diabetes mellitus may lead to tighter control of blood glucose levels and a reduction in the severity of complications associated with this disease.
The phenotype of those diagnosed with diabetes and the predictive value for the development of complications according to the different criteria are compared.,The phenotype of those diagnosed with diabetes and the predictive value for the development of complications are compared.
Combining the use of HbA1c and plasma glucose measurements for the diagnosis of diabetes offers the benefits of each test and reduces the risk of systematic bias inherent in HbA1c testing alone.,The use of HbA1c and plasma glucose measurements for the diagnosis of diabetes offers the benefits of each test and reduces the risk of systematic bias inherent in HbA1c testing alone.
Diabetes mellitus is a common disease whose complications are severe.,Diabetes mellitus is a common disease whose complications are severe.
"Reliable distinction between these diagnoses is essential as treatment differs substantially, with the wrong treatment potentially leading to serious complications.","Treatment of a patient with a bacterial infection is essential as treatment differs substantially, with the wrong treatment potentially leading to serious complications."
Modern testing has defined individuals at high risk for the development of diabetes and pregnant women whose fetuses are at increased risk for mortality and morbidity.,Modern testing has defined individuals at high risk for the development of diabetes and pregnant women whose fetuses are at increased risk for mortality and morbidity.
Diagnostic glycemic criteria for presymptomatic diabetes have been set using diabetic retinopathy as a specific complication of the disease: A1c ≥6.5%; fasting plasma glucose (FPG) ≥126 mg/dL; or plasma glucose measured 2 hours after an OGTT (2-hour PG) ≥200 mg/dL.,Diagnostic glycemic criteria for presymptomatic diabetes have been set using diabetic retinopathy as a specific complication of the disease: A1c 6.5%; fasting plasma glucose (FPG) 126 mg/dL; or plasma glucose measured 2 hours after an OGTT (2-hour PG) 200 mg/dL.
"While the risk of future diabetes is continuously associated with plasma glucose and A1c, the areas between the upper limits of normal and the diabetes cutpoints have been called “prediabetes” or “high risk for diabetes.” These have been defined categorically as A1c 6.0%–6.4% or 5.7%–6.4%; impaired fasting glucose (IFG), FPG 100–125 mg/dL; and impaired glucose tolerance (IGT), 2-hour PG 140–199 mg/dL. A1c 6.0%–6.4% increases the odds ratio (OR) for progression to diabetes (OR 12.5–16) more than the range of 5.7%–6.4% (OR 9.2).",A1c 6.0%–6.4% increases the odds ratio for progression to diabetes (OR 12.5–16) more than the range of 5.7%–6.4% (OR 9.2).
"IFG increases the risk of future diabetes to various degrees in different countries, with odds ratios ranging from 2.9 to 18.5.","IFG increases the risk of future diabetes to various degrees in different countries, with odds ratios ranging from 2.9 to 18.5."
"Other common causes include thyroiditis, toxic multinodular goiter, toxic adenomas, and side effects of certain medications.","Other common causes include thyroiditis, toxic multinodular goiter, toxic adenomas, and side effects of certain medications."
"Graves' disease, toxic multinodular goiter, and toxic adenoma can be treated with radioactive iodine, antithyroid drugs, or surgery, but in the United States, radioactive iodine is the treatment of choice in patients without contraindications.","Graves' disease, toxic multinodular goiter, and toxic adenoma can be treated with radioactive iodine, antithyroid drugs, or surgery, but in the United States, radioactive iodine is the treatment of choice in patients without contraindications."
"Thyroidectomy is an option when other treatments fail or are contraindicated, or when a goiter is causing compressive symptoms.","Thyroidectomy is an option when other treatments fail or are contraindicated, or when a goiter is causing compressive symptoms."
